Order_Priority,Order_Quantity,Sales,Ship_Mode,Profit,Customer_Name,Region,Customer_Segment,Product_Category,Product_Sub-Category,Product_Container,Target
Critical,8,1265.293,Regular Air,-554.44,Lisa DeCherney,West,Corporate,Technology,Telephones and Communication,Small Box,0
High,30,201.35,Express Air,-107.37,Liz Price,West,Corporate,Office Supplies,Paper,Small Box,0
Medium,39,845.9,Regular Air,52.53,Rob Haberlin,West,Corporate,Office Supplies,Storage & Organization,Small Box,1
Low,5,820.5645,Regular Air,-800.25,Maya Herman,Atlantic,Corporate,Technology,Telephones and Communication,Small Box,0
Critical,3,58.14,Regular Air,-96.25,Bill Donatelli,Ontario,Corporate,Technology,Telephones and Communication,Medium Box,0
Critical,34,971.95,Express Air,-21.1,Nicole Hansen,Northwest Territories,Small Business,Office Supplies,Storage & Organization,Small Box,0
Low,40,436.17,Express Air,-141.27,Andrew Gjertsen,Nunavut,Consumer,Office Supplies,Storage & Organization,Small Box,0
Critical,49,8551.544,Regular Air,2763.13,Carlos Daly,Northwest Territories,Corporate,Technology,Telephones and Communication,Small Box,1
Not Specified,23,188.53,Regular Air,-27.49,Helen Andreada,Prarie,Corporate,Office Supplies,Paper,Small Box,0
Not Specified,14,1966.26,Regular Air,-34.79,Guy Armstrong,Prarie,Corporate,Office Supplies,Storage & Organization,Small Box,0
Not Specified,47,16002.29,Regular Air,4604.79,Ricardo Emerson,West,Corporate,Office Supplies,Appliances,Small Box,1
High,44,275.91,Regular Air,-162.37,Jack Lebron,Northwest Territories,Corporate,Technology,Telephones and Communication,Medium Box,0
Not Specified,19,110.67,Regular Air,-43.75,Frank Price,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
High,2,154.94,Regular Air,-358.43,Ken Lonsdale,Prarie,Consumer,Technology,Computer Peripherals,Small Box,0
Not Specified,4,136.68,Express Air,-125.16,Hallie Redmond,Prarie,Small Business,Technology,Computer Peripherals,Small Box,0
Critical,14,403.17,Regular Air,147.45,Roy Skaria,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Not Specified,1,65.7475,Express Air,-252.48,Roy Skaria,West,Corporate,Technology,Telephones and Communication,Small Box,0
Not Specified,14,1892.848,Regular Air,48.99,Julie Creighton,West,Corporate,Technology,Telephones and Communication,Small Box,1
Not Specified,25,318.14,Regular Air,49.67,Bill Eplett,West,Corporate,Office Supplies,Paper,Small Box,1
Critical,35,246.98,Regular Air,-94.78,Khloe Miller,West,Corporate,Furniture,Office Furnishings,Small Box,0
High,12,93.54,Regular Air,-54.04,Carl Jackson,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Not Specified,7,384.2,Regular Air,-164.46,Julie Creighton,West,Corporate,Technology,Telephones and Communication,Small Box,0
High,31,166.76,Regular Air,-46.03,Carl Ludwig,Northwest Territories,Corporate,Office Supplies,Paper,Small Box,0
Not Specified,24,2289.92,Regular Air,1037.55,Harold Engle,Atlantic,Consumer,Office Supplies,Paper,Small Box,1
Medium,30,278.94,Regular Air,-143.7,Ralph Kennedy,West,Corporate,Office Supplies,Paper,Small Box,0
Not Specified,21,917.39,Express Air,393.41,Claudia Miner,Northwest Territories,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,1
Critical,28,456.91,Express Air,-328.18,Susan Vittorini,Northwest Territories,Corporate,Office Supplies,Storage & Organization,Small Box,0
High,3,239.03,Regular Air,-68.22,Ann Chong,Nunavut,Corporate,Office Supplies,Appliances,Small Box,0
Critical,3,124.81,Regular Air,-11.94,David Philippe,Atlantic,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0
Medium,49,1981.26,Express Air,100.8,Mary O'Rourke,Prarie,Home Office,Furniture,Office Furnishings,Medium Box,1
Low,41,152.28,Regular Air,-154.81,Dennis Bolton,West,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0
Medium,48,1269.79,Express Air,-65.33,Sally Knutson,West,Consumer,Technology,Computer Peripherals,Small Box,0
Medium,24,1168.15,Express Air,-743.96,Muhammed MacIntyre,Northwest Territories,Small Business,Office Supplies,Storage & Organization,Large Box,0
Not Specified,26,113.85,Regular Air,-93.93,Beth Thompson,Atlantic,Corporate,Furniture,Office Furnishings,Small Box,0
Medium,46,1482.01,Regular Air,709.33,Rob Haberlin,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Low,3,171.9635,Regular Air,-296.37,Jack Lebron,Atlantic,Corporate,Technology,Telephones and Communication,Small Box,0
Critical,31,206.54,Regular Air,-178.82,Cathy Armstrong,West,Consumer,Office Supplies,Paper,Small Box,0
High,43,701.46,Express Air,-90.14,Muhammed MacIntyre,Northwest Territories,Small Business,Technology,Office Machines,Small Box,0
High,9,298.52,Regular Air,73.19,Hilary Holden,Atlantic,Corporate,Office Supplies,Paper,Small Box,1
Not Specified,49,213.71,Regular Air,-208.02,Michael Granlund,Atlantic,Corporate,Office Supplies,Paper,Small Box,0
Critical,19,368.04,Express Air,70.39,Nicole Hansen,Nunavut,Small Business,Office Supplies,Paper,Small Box,1
Not Specified,31,295.97,Regular Air,5.02,Sally Knutson,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
High,25,2674.18,Regular Air,631.99,Hilary Holden,Atlantic,Corporate,Furniture,Office Furnishings,Medium Box,1
Not Specified,5,22.06,Regular Air,-22.28,Brendan Dodson,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
High,42,939.77,Express Air,9.72,Jim Karlsson,West,Small Business,Technology,Computer Peripherals,Small Box,1
Medium,25,165.36,Express Air,-94.79,Carlos Soltero,Atlantic,Small Business,Office Supplies,Paper,Small Box,0
Low,6,905.94,Express Air,-4.19,Carlos Daly,Northwest Territories,Home Office,Furniture,Chairs & Chairmats,Large Box,0
Low,22,6396.2,Regular Air,1902.24,Grant Carroll,Nunavut,Corporate,Furniture,Chairs & Chairmats,Large Box,1
Not Specified,45,168.66,Regular Air,-167.06,Ken Heidel,Atlantic,Corporate,Office Supplies,Appliances,Small Box,0
Low,8,1313.811,Regular Air,-457.16,Rob Haberlin,West,Corporate,Technology,Telephones and Communication,Small Box,0
Not Specified,29,1158.45,Regular Air,267.16,Sally Knutson,West,Corporate,Office Supplies,Appliances,Small Box,1
Medium,15,297.05,Regular Air,-16.89,Kristina Nunn,West,Consumer,Office Supplies,Appliances,Small Box,0
Critical,39,71.04,Regular Air,-20.65,Sarah Foster,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
High,49,6175.777,Express Air,1881.58,Beth Thompson,Northwest Territories,Corporate,Technology,Telephones and Communication,Small Box,1
High,6,112.4,Regular Air,-46.75,Ivan Gibson,Ontario,Corporate,Technology,Office Machines,Medium Box,0
Not Specified,1,18.92,Regular Air,-18.25,Beth Thompson,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Critical,44,642.8,Regular Air,-253.11,Christopher Schild,Prarie,Corporate,Office Supplies,Appliances,Small Box,0
Low,37,5753.85,Regular Air,2509.52,Frank Price,Northwest Territories,Corporate,Technology,Office Machines,Medium Box,1
Low,33,750.66,Regular Air,120.05,Charles Sheldon,Prarie,Corporate,Technology,Computer Peripherals,Small Box,1
Not Specified,37,270.43,Regular Air,-83.16,Liz Thompson,Ontario,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Critical,28,1553.66,Regular Air,547.48,Mary Zewe,Ontario,Corporate,Office Supplies,Appliances,Small Box,1
Low,15,310.87,Regular Air,-21.48,Ralph Knight,Northwest Territories,Consumer,Technology,Computer Peripherals,Small Box,0
High,11,558.62,Regular Air,118.32,Justin Hirsh,Atlantic,Consumer,Office Supplies,Appliances,Small Box,1
High,39,282.07,Regular Air,140.01,Alan Barnes,Nunavut,Corporate,Office Supplies,Labels,Small Box,1
Low,45,345.2,Regular Air,183.53,Charles McCrossin,Northwest Territories,Corporate,Office Supplies,Labels,Small Box,1
High,27,188.07,Regular Air,-101.85,Bruce Stewart,Prarie,Corporate,Office Supplies,Paper,Small Box,0
Not Specified,45,237.28,Express Air,-2088.68,Bryan Mills,Northwest Territories,Small Business,Office Supplies,Appliances,Large Box,0
Low,2,45.64,Express Air,-0.11,Bill Donatelli,Ontario,Corporate,Office Supplies,Envelopes,Small Box,0
Low,46,247.21,Regular Air,-63.72,Marina Lichtenstein,West,Corporate,Office Supplies,Paper,Small Box,0
Not Specified,27,1603.27,Regular Air,452.49,Guy Thornton,Ontario,Corporate,Office Supplies,Appliances,Small Box,1
Critical,13,121.66,Regular Air,-11.8,Carlos Soltero,Northwest Territories,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0
Medium,44,792.8,Regular Air,26.27,Joy Smith,Atlantic,Consumer,Office Supplies,Paper,Small Box,1
Medium,16,33.76,Regular Air,-7.15,Neil Knudson,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
High,26,172.76,Regular Air,73.18,Toby Braunhardt,Northwest Territories,Corporate,Office Supplies,Labels,Small Box,1
High,47,191.67,Regular Air,-236.27,Eugene Barchas,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Low,13,75.89,Regular Air,-31.01,Kristina Nunn,Atlantic,Consumer,Office Supplies,Paper,Small Box,0
Critical,36,2039.082,Regular Air,481.7,Guy Armstrong,Prarie,Corporate,Technology,Telephones and Communication,Small Box,1
High,3,49.59,Express Air,-8.38,Annie Cyprus,Nunavut,Home Office,Office Supplies,Paper,Small Box,0
Not Specified,19,718.41,Regular Air,23.94,Helen Andreada,Prarie,Corporate,Office Supplies,Paper,Small Box,1
Critical,23,1404.22,Regular Air,202.87,Julia West,Northwest Territories,Consumer,Furniture,Office Furnishings,Small Box,1
High,13,34.42,Regular Air,9.47,Toby Braunhardt,Northwest Territories,Corporate,Office Supplies,Labels,Small Box,1
Not Specified,47,168.55,Regular Air,71.77,Sonia Sunley,West,Corporate,Office Supplies,Labels,Small Box,1
Critical,25,144.84,Regular Air,-120.99,Carlos Soltero,Northwest Territories,Consumer,Office Supplies,Paper,Small Box,0
Critical,14,138.31,Regular Air,-31.16,Sean Wendt,West,Corporate,Furniture,Office Furnishings,Medium Box,0
Low,32,1997.13,Regular Air,720.45,Mike Kennedy,Prarie,Corporate,Furniture,Office Furnishings,Small Box,1
Not Specified,22,245.96,Regular Air,-33.82,Gene Hale,West,Consumer,Office Supplies,Storage & Organization,Small Box,0
Medium,28,1350.34,Express Air,-517.17,Justin Knight,West,Corporate,Office Supplies,Storage & Organization,Small Box,0
Not Specified,36,551.44,Regular Air,28.7,Liz Price,Atlantic,Corporate,Technology,Office Machines,Medium Box,1
High,10,1961.68,Regular Air,-367.0,Guy Armstrong,Prarie,Corporate,Furniture,Tables,Large Box,0
Medium,49,2470.84,Regular Air,25.04,Christopher Schild,Atlantic,Corporate,Furniture,Office Furnishings,Medium Box,1
High,3,431.29,Regular Air,-164.59,Sonia Sunley,West,Corporate,Furniture,Chairs & Chairmats,Large Box,0
Not Specified,8,435.29,Regular Air,122.41,Harold Engle,Atlantic,Consumer,Furniture,Office Furnishings,Medium Box,1
Not Specified,32,1282.49,Regular Air,154.74,Anthony O'Donnell,West,Consumer,Furniture,Office Furnishings,Large Box,1
Not Specified,34,3375.3075,Regular Air,562.13,Bobby Odegard,Ontario,Corporate,Technology,Telephones and Communication,Small Box,1
Medium,26,363.16,Express Air,3.92,Lycoris Saunders,Ontario,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Low,31,983.78,Regular Air,43.72,Christopher Schild,Prarie,Corporate,Technology,Computer Peripherals,Small Box,1
Critical,48,538.22,Regular Air,-154.66,Barry French,Northwest Territories,Consumer,Technology,Computer Peripherals,Small Box,0
Critical,37,4896.93,Express Air,1467.82,Helen Abelman,Atlantic,Home Office,Furniture,Chairs & Chairmats,Medium Box,1
Not Specified,12,118.97,Regular Air,-0.06,Frank Price,Nunavut,Corporate,Furniture,Office Furnishings,Small Box,0
High,36,336.25,Express Air,25.95,Sanjit Chand,West,Home Office,Office Supplies,Paper,Small Box,1
Critical,4,430.848,Regular Air,-492.77,Julia Dunbar,Prarie,Consumer,Technology,Telephones and Communication,Small Box,0
Medium,7,44.05,Regular Air,-21.77,Rick Duston,West,Corporate,Office Supplies,Paper,Small Box,0
Not Specified,19,3555.29,Express Air,183.28,Hallie Redmond,Prarie,Small Business,Office Supplies,Storage & Organization,Small Box,1
Critical,44,2435.32,Regular Air,650.56,Hilary Holden,Atlantic,Corporate,Office Supplies,Appliances,Small Box,1
Critical,15,822.8425,Regular Air,4.39,Ralph Knight,Northwest Territories,Consumer,Technology,Telephones and Communication,Small Box,1
Medium,9,196.41,Regular Air,27.91,Bill Eplett,Ontario,Corporate,Furniture,Office Furnishings,Large Box,1
High,34,684.66,Express Air,35.09,Greg Guthrie,Atlantic,Small Business,Furniture,Office Furnishings,Small Box,1
Critical,17,518.8,Regular Air,54.63,Ken Lonsdale,Prarie,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,1
Medium,27,399.76,Regular Air,48.13,Lela Donovan,West,Corporate,Office Supplies,Appliances,Small Box,1
Low,20,939.39,Regular Air,-122.77,Stewart Carmichael,West,Corporate,Office Supplies,Appliances,Small Box,0
High,43,260.59,Regular Air,-157.76,Nathan Cano,Prarie,Consumer,Office Supplies,Paper,Small Box,0
Not Specified,40,7381.19,Regular Air,2998.88,Guy Thornton,Ontario,Corporate,Office Supplies,Appliances,Small Box,1
High,18,1341.963,Regular Air,180.78,Shahid Shariari,West,Corporate,Technology,Telephones and Communication,Small Box,1
Medium,3,279.33,Regular Air,-44.18,Kelly Williams,West,Corporate,Office Supplies,Envelopes,Small Box,0
Medium,17,184.09,Regular Air,4.79,Marina Lichtenstein,West,Corporate,Office Supplies,Envelopes,Small Box,1
Low,32,4800.44,Regular Air,1912.92,Rob Dowd,West,Corporate,Technology,Office Machines,Medium Box,1
Not Specified,41,844.09,Regular Air,52.56,Dorothy Wardle,Nunavut,Corporate,Furniture,Office Furnishings,Small Box,1
Not Specified,1,14.68,Regular Air,-13.78,Lela Donovan,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Critical,30,3276.9965,Regular Air,653.06,Mary Zewe,Ontario,Corporate,Technology,Telephones and Communication,Small Box,1
Not Specified,23,10791.38,Regular Air,-234.79,Evan Minnotte,Atlantic,Corporate,Technology,Copiers and Fax,Large Box,0
Not Specified,47,186.93,Regular Air,56.44,Bryan Davis,Northwest Territories,Corporate,Office Supplies,Labels,Small Box,1
Critical,28,168.57,Express Air,16.65,Eugene Barchas,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Critical,21,309.62,Express Air,-80.2,Shahid Shariari,West,Corporate,Office Supplies,Storage & Organization,Small Box,0
Medium,4,127.56,Regular Air,-41.75,Monica Federle,West,Corporate,Office Supplies,Storage & Organization,Small Box,0
High,35,3310.9455,Regular Air,822.4,Cindy Schnelling,Northwest Territories,Corporate,Technology,Telephones and Communication,Small Box,1
Not Specified,21,330.22,Regular Air,-51.72,Meg O'Connel,Prarie,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Not Specified,47,263.81,Regular Air,-237.54,Shahid Shariari,West,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0
Medium,11,32.4,Regular Air,8.78,Sylvia Foulston,Northwest Territories,Corporate,Office Supplies,Labels,Small Box,1
High,35,195.23,Regular Air,-72.46,Theone Pippenger,Prarie,Corporate,Furniture,Office Furnishings,Small Box,0
Not Specified,2,789.01,Regular Air,-539.59,Beth Thompson,Northwest Territories,Corporate,Office Supplies,Storage & Organization,Small Box,0
Not Specified,39,223.79,Regular Air,-89.88,Bill Eplett,West,Corporate,Office Supplies,Paper,Small Box,0
High,36,275.06,Regular Air,-237.87,Mike Kennedy,Atlantic,Corporate,Office Supplies,Paper,Small Box,0
High,15,896.1805,Express Air,82.04,Jack Lebron,Atlantic,Corporate,Technology,Telephones and Communication,Small Box,1
Low,32,3245.73,Regular Air,569.57,Hilary Holden,Atlantic,Corporate,Furniture,Office Furnishings,Medium Box,1
High,2,29.31,Regular Air,-12.78,Anthony O'Donnell,West,Corporate,Office Supplies,Paper,Small Box,0
Low,32,1381.88,Express Air,598.2,Guy Thornton,Ontario,Corporate,Furniture,Office Furnishings,Small Box,1
Medium,8,339.81,Regular Air,79.59,Barry Weirich,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Not Specified,45,1090.6,Regular Air,300.91,Lisa DeCherney,West,Corporate,Technology,Office Machines,Medium Box,1
Critical,1,232.67,Regular Air,-105.14,Roy Skaria,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Medium,7,83.81,Regular Air,21.92,Andrew Gjertsen,Atlantic,Consumer,Office Supplies,Labels,Small Box,1
Critical,21,848.2,Express Air,163.78,Greg Guthrie,Prarie,Corporate,Office Supplies,Appliances,Small Box,1
Medium,16,481.049,Regular Air,46.51,Steve Carroll,Prarie,Consumer,Technology,Telephones and Communication,Small Box,1
High,2,811.13,Regular Air,-517.47,Carlos Daly,Northwest Territories,Corporate,Office Supplies,Storage & Organization,Small Box,0
Medium,37,1003.06,Regular Air,271.78,Beth Paige,Nunavut,Consumer,Office Supplies,Appliances,Medium Box,1
High,45,712.04,Regular Air,-110.93,Edward Hooks,Atlantic,Consumer,Technology,Office Machines,Small Box,0
Low,31,4726.595,Express Air,1176.48,Luke Weiss,West,Corporate,Technology,Telephones and Communication,Small Box,1
Critical,7,381.1995,Express Air,-233.56,Dana Kaydos,Atlantic,Corporate,Technology,Telephones and Communication,Small Box,0
Not Specified,29,573.97,Regular Air,55.82,Bill Eplett,West,Corporate,Office Supplies,Paper,Small Box,1
Low,39,199.39,Express Air,101.13,Neola Schneider,Northwest Territories,Home Office,Office Supplies,Labels,Small Box,1
Critical,40,430.88,Regular Air,39.0,Art Ferguson,Atlantic,Corporate,Office Supplies,Envelopes,Small Box,1
Not Specified,42,3609.88,Regular Air,-1396.22,Erica Bern,Atlantic,Corporate,Furniture,Office Furnishings,Medium Box,0
Low,20,173.09,Regular Air,-6.71,Erica Bern,Atlantic,Corporate,Office Supplies,Paper,Small Box,0
High,13,1072.22,Regular Air,149.64,Joy Smith,Prarie,Consumer,Technology,Computer Peripherals,Small Box,1
Medium,5,165.04,Regular Air,-112.44,Michelle Lonsdale,Northwest Territories,Corporate,Technology,Computer Peripherals,Small Box,0
Not Specified,16,2744.361,Regular Air,201.03,Bill Eplett,West,Corporate,Technology,Telephones and Communication,Small Box,1
Not Specified,21,2954.14,Express Air,-522.94,Bobby Odegard,Ontario,Corporate,Office Supplies,Storage & Organization,Large Box,0
Not Specified,39,1140.26,Express Air,387.2,Dana Kaydos,Prarie,Corporate,Furniture,Office Furnishings,Small Box,1
Critical,34,216.3,Regular Air,103.16,Monica Federle,Northwest Territories,Corporate,Office Supplies,Labels,Small Box,1
Low,14,76.06,Express Air,-35.99,Meg O'Connel,Ontario,Corporate,Office Supplies,Paper,Small Box,0
Medium,6,21.07,Regular Air,2.28,Rob Haberlin,West,Corporate,Office Supplies,Labels,Small Box,1
Low,31,614.35,Express Air,78.89,Maria Bertelson,Ontario,Corporate,Office Supplies,Paper,Small Box,1
Medium,32,368.18,Regular Air,-36.78,Brendan Dodson,Northwest Territories,Corporate,Office Supplies,Storage & Organization,Small Box,0
Low,35,543.22,Regular Air,68.44,Philip Brown,Atlantic,Corporate,Furniture,Office Furnishings,Small Box,1
Not Specified,30,114.12,Regular Air,15.73,Ann Chong,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Critical,8,754.6555,Regular Air,-212.55,Bill Donatelli,Ontario,Corporate,Technology,Telephones and Communication,Small Box,0
Critical,35,1476.39,Express Air,-303.62,Emily Grady,West,Home Office,Furniture,Office Furnishings,Medium Box,0
Critical,23,104.82,Express Air,6.84,Luke Weiss,West,Corporate,Office Supplies,Envelopes,Small Box,1
Low,17,114.28,Regular Air,-38.72,Sally Knutson,West,Corporate,Office Supplies,Paper,Small Box,0
Critical,8,234.28,Regular Air,-65.42,Dorothy Wardle,Northwest Territories,Corporate,Office Supplies,Storage & Organization,Medium Box,0
Critical,46,7965.9025,Regular Air,2311.96,Nathan Mautz,Prarie,Corporate,Technology,Telephones and Communication,Small Box,1
High,12,503.08,Regular Air,-102.74,Bruce Stewart,Prarie,Corporate,Technology,Computer Peripherals,Small Box,0
Medium,8,55.59,Express Air,-17.95,Roland Black,Prarie,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,0
Not Specified,19,394.27,Regular Air,30.94,Carlos Soltero,Nunavut,Consumer,Office Supplies,Appliances,Medium Box,1
Medium,15,150.33,Express Air,-98.23,Joel Jenkins,Ontario,Corporate,Office Supplies,Storage & Organization,Small Box,0
Low,21,4429.69,Express Air,983.55,Filia McAdams,Atlantic,Small Business,Technology,Copiers and Fax,Large Box,1
Low,3,523.58,Express Air,-179.36,Maria Bertelson,Ontario,Home Office,Office Supplies,Storage & Organization,Small Box,0
High,31,8901.78,Regular Air,2795.36,Alan Barnes,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,Large Box,1
Not Specified,38,3152.75,Regular Air,1166.4,Erica Bern,Atlantic,Corporate,Technology,Computer Peripherals,Small Box,1
Medium,9,186.67,Regular Air,2.06,Bill Eplett,Ontario,Corporate,Office Supplies,Paper,Small Box,1
Critical,32,195.57,Regular Air,-132.93,Justin Hirsh,Atlantic,Consumer,Office Supplies,Paper,Small Box,0
Critical,46,281.0,Regular Air,-291.59,Giulietta Weimer,West,Corporate,Office Supplies,Paper,Small Box,0
High,15,260.39,Regular Air,-48.57,Mary Zewe,Prarie,Corporate,Office Supplies,Envelopes,Small Box,0
Medium,32,2564.45,Express Air,650.73,Kimberly Carter,West,Small Business,Office Supplies,Appliances,Medium Box,1
Medium,46,249.02,Regular Air,-282.61,Sylvia Foulston,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Not Specified,1,12.74,Regular Air,-11.39,Annie Thurman,Ontario,Consumer,Furniture,Office Furnishings,Small Box,0
Medium,34,2560.59,Regular Air,670.96,Michael Granlund,Atlantic,Corporate,Technology,Computer Peripherals,Small Box,1
Low,13,2323.36,Regular Air,220.39,Sonia Sunley,West,Corporate,Technology,Computer Peripherals,Small Box,1
Not Specified,8,184.07,Regular Air,75.63,Chuck Clark,West,Corporate,Furniture,Office Furnishings,Small Box,1
Medium,1,356.95,Regular Air,-228.24,Bill Donatelli,Ontario,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Not Specified,43,858.53,Regular Air,-97.54,Greg Guthrie,Prarie,Corporate,Furniture,Office Furnishings,Large Box,0
Low,46,331.83,Regular Air,-101.25,Justin Knight,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Not Specified,43,2568.71,Regular Air,590.77,Sally Knutson,West,Corporate,Office Supplies,Envelopes,Small Box,1
Not Specified,5,28.32,Regular Air,-14.35,Susan Vittorini,Ontario,Corporate,Office Supplies,Paper,Small Box,0
High,50,5513.82,Regular Air,1581.93,Hilary Holden,Atlantic,Corporate,Furniture,Office Furnishings,Medium Box,1
Critical,37,608.33,Regular Air,-70.04,Sally Knutson,West,Consumer,Office Supplies,Storage & Organization,Small Box,0
Critical,22,196.75,Express Air,0.13,Khloe Miller,West,Corporate,Furniture,Office Furnishings,Small Box,1
Critical,25,397.84,Regular Air,-14.75,Edward Hooks,Northwest Territories,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0
Medium,20,857.95,Express Air,51.85,Justin Hirsh,Atlantic,Consumer,Technology,Computer Peripherals,Small Box,1
Medium,31,3206.965,Regular Air,575.33,Jack Lebron,Atlantic,Corporate,Technology,Telephones and Communication,Small Box,1
Not Specified,14,438.47,Express Air,157.89,Bruce Stewart,Prarie,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Not Specified,35,543.72,Regular Air,-211.13,Matt Collins,West,Consumer,Office Supplies,Storage & Organization,Small Box,0
Medium,28,1546.3965,Express Air,226.72,Shahid Shariari,West,Corporate,Technology,Telephones and Communication,Small Box,1
Medium,49,7002.08,Regular Air,-1640.51,Sally Knutson,West,Corporate,Furniture,Tables,Large Box,0
Medium,8,820.284,Regular Air,-180.2,Dorothy Wardle,Nunavut,Corporate,Technology,Telephones and Communication,Small Box,0
Not Specified,29,531.063,Regular Air,24.56,Luke Weiss,West,Corporate,Technology,Telephones and Communication,Medium Box,1
Low,19,130.67,Regular Air,-77.18,Greg Guthrie,Atlantic,Corporate,Office Supplies,Paper,Small Box,0
Critical,1,62.26,Regular Air,-23.24,Monica Federle,Northwest Territories,Corporate,Office Supplies,Paper,Small Box,0
Critical,31,346.57,Regular Air,-116.45,Julie Creighton,West,Corporate,Technology,Computer Peripherals,Small Box,0
